dir_name,subdir_num,table_num,time_delta,width_upper,height_upper,cell_width,cell_height,cell_same_size,Valid,Note
Data\691828,1,0,,800,900,,,,False,no table image
Data\691919,1,1,0,800,900,61,13,True,True,
Data\692129,1,1,0,800,900,61,13,True,True,
Data\692239,1,1,0,800,900,61,13,True,True,
Data\692260_1,1,1,0,800,800,61,13,True,True,
Data\692260_2,1,1,0,800,900,61,13,True,True,
Data\693668,1,1,0,800,900,61,13,True,True,
Data\693672,1,1,0,800,900,61,13,True,True,
Data\694176,1,1,0,800,900,61,13,True,True,
Data\694352,1,1,0,800,900,61,13,True,True,
Data\694842,1,1,0,800,900,61,13,True,True,
Data\695000_1,1,1,0,800,900,61,13,True,True,
Data\695000_2,1,1,0,800,900,61,13,True,True,
Data\695120_1,1,0,,800,900,,,,False,no table image
Data\695120_2,1,1,0,800,900,61,13,True,True,
Data\695522,1,1,0,800,900,61,13,True,True,
Data\696128,1,1,0,800,900,61,13,True,True,
Data\696236,1,1,0,800,900,61,13,True,True,
Data\696508,1,1,0,800,900,61,13,True,True,
Data\696513_1,1,1,0,800,900,61,13,True,True,
Data\696513_2,1,1,0,800,900,61,13,True,True,
Data\696537,1,1,0,800,900,61,13,True,True,
Data\697216,1,1,14,800,900,69,25,True,False,table cell is unhandled size
Data\697467,1,1,0,900,900,69,25,True,False,table cell is unhandled size
Data\697479,1,1,0,800,900,61,13,True,True,
Data\698189_1,1,0,,800,900,,,,False,no table image
Data\698189_2,1,1,0,800,900,61,13,True,True,
Data\698337_1,1,1,0,800,900,61,13,True,True,
Data\698337_2,1,1,0,800,800,61,13,True,True,
Data\698368,1,1,56,800,900,61,13,True,True,
Data\698435,1,1,0,800,900,61,13,True,True,
Data\699197,1,1,0,900,900,69,25,True,False,table cell is unhandled size
Data\699243_1,1,0,,800,900,,,,False,no table image
Data\699243_2,1,1,0,800,900,61,13,True,True,
Data\699243_3,1,1,64,800,900,61,13,True,True,
Data\699504,1,1,0,800,900,61,13,True,True,
Data\700438,1,1,63,900,900,69,25,True,False,table cell is unhandled size
Data\701436,1,1,21,800,900,61,13,True,True,
Data\701509,1,1,82,800,900,61,13,True,True,
Data\701907,1,1,0,800,900,61,13,True,True,
Data\704288,1,1,14,800,900,69,25,True,False,table cell is unhandled size
Data\709503,1,1,0,800,900,69,25,True,False,table cell is unhandled size
Data\710456,1,1,0,900,900,69,25,True,False,table cell is unhandled size
Data\P090099,1,1,0,800,900,61,13,True,True,
Data\P104953,1,1,0,800,900,61,13,True,True,
Data\P106517,1,1,0,800,900,61,13,True,True,
Data\PS102899,1,0,,800,900,,,,False,no table image
Data\S063947_1,1,1,0,800,900,61,13,True,True,
Data\S063947_2,1,1,0,800,900,61,13,True,True,
Data\S072839,1,1,0,800,900,61,13,True,True,
Data\S092586_1,1,1,0,800,900,61,13,True,True,
Data\S092586_2,1,1,0,800,900,61,13,True,True,
Data\S092813_1,1,0,,800,900,,,,False,no table image
Data\S092813_2,1,1,0,800,700,61,13,True,True,
Data\S094839_1,1,1,0,800,900,61,13,True,True,
Data\S094839_2,1,1,0,800,900,61,13,True,True,
Data\S095812_1,1,0,,800,800,,,,False,no table image
Data\S095812_2,1,1,0,800,900,61,13,True,True,
Data\S099371_1,1,1,0,800,900,61,13,True,True,
Data\S099371_2,1,1,0,800,900,61,13,True,True,
Data\S104373,1,1,12,800,900,61,13,True,True,
Data\S105501_1,1,0,,800,900,,,,False,no table image
Data\S105501_2,1,1,0,800,900,61,13,True,True,
Data\S106111,1,1,0,800,900,61,13,True,True,
Data\S106364_1,1,0,,800,900,,,,False,no table image
Data\S106364_2,1,1,9,800,900,61,13,True,True,
Data\S107442,1,1,70,800,900,61,13,True,True,
Data\S107887_1,1,1,49,800,900,61,13,True,True,
Data\S107887_2,1,1,25,800,900,61,13,True,True,
Data\S108236_1,1,1,-83,800,900,61,13,True,True,
Data\S108236_2,1,1,5,800,900,61,13,True,True,
Data\S108278,1,1,21,800,900,61,13,True,True,
Data\S110108,1,1,-14,800,900,61,13,True,True,
Data\S111716_1,1,1,5,800,900,61,13,True,True,
Data\S111716_2,1,1,-9,800,900,61,13,True,True,
